SURVEYID,MOSTIMPBOAT,MOSTIMPFISH,MOSTIMPSWIM,MOSTIMPFAM,MOSTIMPBIRD,MOSTIMPBEAUTY,GRADERES,GRADECOM,GRADEFARMOP,GRADECONGROUP,GRADELOCALGOV,GRADEREGULATORS,QOLWQ,SLOWECON,CHNGEPRAC,IMPSED,IMPFERT,IMPECOLI,IMPTRASH,IMPSALT,IMPHITEMP,CONEXCESS,CONCONTH2O,CONLOSS,CONODOR,CONDEPGW,CONBEAUTY,CONRECOPP,SEPTICYEAR,SEPTICDK,SEPTICPUMP,SEPTICINSPECT,SCHECKROOTS,SCHECKWET,SCHECKCLOGS,SCHECKCOVER,STIME,SCOST,SIMPORTANT,SLACKINFO,NSOILTESTFAM,NMANUFERTFAM,ENOTILLFAM,ECOVERFAM,EWATERWAYFAM,NVRTFAM,GENDER,YRBORN,BLACK,AMERIND,ASIAN,LATINO,MULTIRAC,WHITE,PREFERNOTTO,EDUCATION,TIMERES,SIZE,ANIMALS,CROPS,TYPE,FAMCURREN,RESIDENTIAL,SMALLFARM,LARGEFARM
0011,0,1,0,0,1,1,4,2,2,4,3,3,4,5,4,3,4,9,3,9,2,2,9,2,1,3,3,2, , ,3,3,3,4,4,4,1,1,1,1, , , , , , ,0,1947,0,0,0,0,0,1, ,4,37,7.5,0,0,1,0,1,0,0
0012,1,1,1,1,0,0,5,1,1,5,3,1,5,5,4,2,4,4,4,9,9,4,4,4,4,4,4,4, , ,3,3,1,1,1,1, , , ,4, , , , , , ,1,1950,0,0,0,0,0,1, ,2,35,4,0,0,1,0,1,0,0
0013,0,0,0,0,0,0,2,2,2,2,3,3,4,3,4,2,3,2,2,2,2,2,3,3,4,3,3,2, ,9,1,0,1,4,2,2,2,4,2,3,4,4,9,4,9,9,0,1955,0,0,0,0,0,1, ,5,29,4,1,1,2,29,0,1,0
0014,1,1,1,1,0,1,3,3,2,4,3,2,5,5,4, ,3,9,9,9,9,9,3,4,9,4,2,9, ,9,0,0,3,4,1,4,1,4, , , , , , , , ,1,1948,0,0,0,0,0,1, ,6,14,6.5,0,0,1, ,1,0,0
0015,0,0,0,0,0,1,4, , , , , ,4,5,3,9,9,9,9,9,9,9,4,4,3,3,4,4, ,9,3,3,1,1,1,4,3,3,4,2, , , , , , ,1,1968,0,0,0,0,0,1, ,4,20,1,0,0,1,0,1,0,0
0016,0,0,0,9,9,0,3,3,2,3,2,1,4,4,5,3,4,4,4,4,3,4,4,4,4,4,4,4, , ,2,2, , , , , , , , , , , , , , ,0,1943,0,0,0,0,0,1, ,3,26,9.8,0,0,1,0,1,0,0
0017,0,0,1,0,0,0, , , , , , ,5,4,5,9,9,9,1,9,9,9,1,1,1,9,1,1, , ,3,3,2,2,1,4,2,4,3,3, , , , , , ,1,1974,0,0,0,0,0,1, ,5,11,5,0,0,1, ,1,0,0
0018,1,1,1,1,1,1, , , , , , ,5,5,4,9,9,9,9,9,9,2,4,4,4,4,4,3,2017, ,3,3,2,4,4,4,1,1,1,1, , , , , , ,0,1965,0,0,0,0,0,1, ,3,27,8,0,0,1, ,1,0,0
0019,1,0,0,0,0,0,1,2,1,5,4,5,5,5,4,3,4,2,3,3,4,4,3,4,3,4,3,3, ,9,3,1,4,4,1,4,1,3,1,1, , , , , , ,0,1968,0,0,0,0,0,1, ,5,22,1.5,0,0,1,15,1,0,0
0020,0,0,0,0,0,1,4,4,2,5,2,1,5,5,3,2,3,2,2,9,9,2,2,3,2,3,3,3,2012, ,2,0, , , ,4,1,4,3,1, , , , , , ,1,1958,0,0,0,0,0,1, ,3,10,9,0,0,1,40,1,0,0
0021, , , , , ,9, , , , , , ,5,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3, ,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,0,0,1, ,1,0,0
0022,0,0,0,1,0,0,3,2,3,4,2,2,5,5,4,3,3,3,4,3,1,3,2,2,2,4,3,3, , ,2,1,4,4,4,4,1,1,1,1,4,4,4,3,4,4,1,1944,0,0,0,0,0,1, ,5,49,120,0,1,3,50,0,0,1
0023,0,0,1,0,0,0,4,4,4,5,4,3,5,4,4, , ,9,3,9,9,2,9,9,9,9,2,3, ,9,2,1,4,3,1,4,2,2,2,3,4,4,4,4,4,4,1,1956,0,0,0,0,0,1, ,5,46,900,1,1,3,48,0,0,1
0024,0,0,1,0,0,0,4,4,3,4,3,3,5,5,4,3,2,2,3,3,3,3,4,3,2,4,3,3, ,9,3,0,1,1,1,1,3,3,4,4, , , , , , ,1, ,0,0,0,0,0,1, ,5,11,2,1,0,2,0,0,1,0
0025,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1, ,9,0,0,2,2,2,2,1,1,1,1, , , , , , ,9,1955,0,0,0,0,0,1, ,2,7,6,0,0,1,0,1,0,0
0026,1,1,1,1,1,1,5,4,3,5,4,4,4,4,3,1,2,1,3,9,1,9,1,9,1,1,1,1, , ,3,1,4,4,4,4,1,1,1,1, , , , , , ,1,1990,0,0,0,0,0,1, ,5,10,7.5,0,0,1,0,1,0,0
0027,0,0,0,0,0,0,4,4,3,4,3,3,4,5,4,2,3,2,2,9,9,2,2,2,2,3,2,2,1991, ,3,3,4,4,4,4,3,3,1,1, , , , , , ,0,1965,0,0,0,0,0,1, ,6,31,40,1,0,2,40,0,1,0
0028, ,1, ,1, ,1, , , , , , ,5,4,5,4,4,3,2,9,9,9,9,3,3,9,1,1, ,9,2,0,2,2,2,2,1,4,1,1, , , , , , ,0,1962,0,0,0,0,0,1, ,2,5,3,0,0,1,0,1,0,0
0029,0,1,0,0,1,1,5, ,5,5,5,5,5,5,5,2,1,1,3,9,9,9,1,1,1,1,1,1, , ,2,2,2,2,2,2,1,1,1,1,4,4,4,4,4,4,0,1959,0,0,0,0,0,1, ,2,42,600,1,1,3,52,0,0,1
0030,9,0,9,0,0,1,4, ,2,3,1,1,5,5,5,4,4,9,4,9,9,3,4,3,9,4,4,4, , ,3,0,1,4,4,4,3,3,3,4, , , , , , ,0,1951,0,0,0,0,0,1, ,4,22,5.1,1,0,2, ,0,1,0
0031,1,1,1,1,1,1,3,3,5,4,4,2,5,4,5,2,2,1,1,1,1,3,2,3,3,2,3,2, , ,1,0,4,4,4,4,4,2, , ,4,4,4,4,4,4,0,1962,0,0,0,0,0,1, ,4,48,1100,0,1,3,50,0,0,1
0032,1,1,0,0,1,1,2,3,1,3,3,3,4,4,3,3,4,3,3,9,1,4,3,3,2,1,2,1, ,9,2,0,2,4,1,4,1,1,2,1, , , , , , ,0,1951,0,0,0,0,0,1, ,3,9,2,0,0,1,0,1,0,0
0033,0,0,0,0,0,1,4,3,4,4,3,4,5,5,5,2,2,2,2,9,9,9,2,9,1,1,2,9,1998, ,2,2,4,4,1,4,1,3,1,1, , , , , , ,1,1953,0,0,0,0,0,1, ,3,23,2.3,0,0,1, ,1,0,0
0034,0,0,0,0,0,1,3,1,2,4,2,3,3,5,4,2,2,9,1,9,9,9,9,9,9,9,1,1, , ,2,2,1,1,1,1, , , , , , , , , , ,0,1993,0,0,0,0,0,1, ,6,4,5,0,0,1, ,1,0,0
0035,0,0,0,0,0,0, , , , , , ,4,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3,0,4,4,4,4,1,1,1,1,4,4,3,4,3,4,0,1951,0,0,0,0,0,1, ,6,12,26,0,1,2,12,0,1,0
0036,1,0,0,0,0,0,2,3,4,4,4,4,5,5,4,3,2,2,3,9,2,2,3,2,2,9,2,1, , , , ,2,2,2,2,3,4,3,3,4,2,4,2,3,3,0,1981,0,0,0,0,0,1, ,4,5,130,1,1,3,5,0,0,1
0037, , , , , , ,4,3,3,4,3,3,5,4,3,3,3,9,3,9,3,9,9,9,9,9,3,3, , ,3,1,2,4,1,4, , , , , , , , , , ,0,1942,0,0,0,0,0,1, ,1,32,5,0,0,1, ,1,0,0
0038,9,9,1,0,1,1,3,3,3,5,4,4,4,3,4,9,3,2,3,3,1,9,9,3,9,2,2,9, ,9,1,0,3,3,3,3,3,3,2,3, , , , , , ,0,1951,0,0,0,0,0,1, ,5,31,1.5,0,0,1,0,1,0,0
0039,0,1,0,0,0,0,4,3,2,5,3,2,5,4,4,2,4,9,2,9,4,2,2,4,2,3,4,4, , ,2,0,1,1,1,1,2,2,2,4, , , , , , ,0,1952,0,0,0,0,0,1, ,5,25,5,0,0,1, ,1,0,0
0040,0,0,0,1,0,0,1,1,1,1,1,1,5,4,5,1,4,3,4,3,1,4,4,4,4,4,4,4, , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1961,0,1,0,0,0,1, ,6,23,1,0,0,1, ,1,0,0
0041,0,1,0,0,0,0,5,2,4,3, ,1,4,4,4,9,2,9,1,9,9,3,4,4,2,3,3,2,2004, ,0,0,1,1,1,1,2,2,3,3, , , , , , ,0,1992,0,0,0,0,0,1, ,5,3.5,18,1,0,2,0,0,1,0
0042,0,1,0,0,0,0,3,2,2,4,3,2,5,5,4,1,3,3,3,3,2,1,9,1,1,4,2,1, , ,3,2,1,4,1,1,2,2,4,4, , , , , , ,1,1985,0,0,0,0,0,1, ,6,2,27,0,0,1,0,1,0,0
0043,1,0,0,0,0,0,4,2,2,4,2,2,5,5,4,1,4,4,4,4,3,4,4,4,4,4,3,3, , ,2,0,3,4,3,4,3,3,3,3, , , , , , ,1,1983,0,0,0,0,0,1, ,5,13,5,1,0,2, ,0,1,0
0044,0,0,0,0,0,0,4,4,4,4,4,3,5,5,5,3,3,9,1,9,1,2,1,9,2,3,2,1, , ,3,3,1,4,1,3,3,4,3,3, , , , , , ,1,1983,0,0,0,0,0,1, ,5,7,10,1,0,2, ,0,1,0
0045,1,0,0,0,0,0,3,2,2, , , ,5,5,4,9,3,9,2,9,9,9,9,9,3,9,3,3, , ,3,1,3,4,1,3,1,1,4,3,1,1,1,1,1,1,1,1969,0,0,0,0,0,1, ,6,17,80,0,1,3,0,0,0,1
0046,1,1,1,1,1,1,5,3,3,5,2,2,5,4,4,9,9,9,9,9,9,3,9,9,9,9,4,4,1978, ,2,0,1,1,1,1,1,1,1,1, , , , , , ,0, ,0,0,0,0,0,1, ,2,31,6,0,0,1, ,1,0,0
0047,0,1,0,0,0,0,2,1,1,2,1,1,5,4,5,3,4,4,4,4,4,4,4,4,9,1,4,1, ,9,2,2,4,4,4,4,1,1,1,1,4,4,4,4,9,9,0,1984, , , , , , ,9,6,6,5,0,1,2,9,0,1,0
0048,9,9,9,9,9,9,4,3,3,4,3,3,5,5,3,3,3,3,3,3,2,3,4,3,2,4,3,2, , ,1,0,4,4,4,4,1,1,1,1,4,3,4,4,4,2,0,1969,0,0,0,0,0,1, ,2,22,350,1,1,3,40,0,0,1
0049,1,1,1,0,0,0,3,3,3,3,3,3,5,5,4,9,9,9,3,9,9,4,4,4,4,4,4,4, , ,1,0,4,4,1,4,3,3,3,3, , , , , , ,0,1980,0,0,0,0,0,1, ,5,13,3.5,1,0,2,0,0,1,0
0050,0,1,0,0,0,0,3,3,1,4,1,4,5,5,4,2,4,4,3,3,2,3,4,3,3,4,3,3, ,9,3,1,1,2,2,3,1,2,4,4, , , , , , ,1,1969,0,0,0,0,0,1, ,3,24,3,0,0,1, ,1,0,0
0051,0,0,0,0,0,1,3, , , , , ,5,4,3,9,9,9,9,9,9,1,1,9,2,3,1,1, , ,3,0,4,4,1,4,2,4,1,1, , , , , , ,0,1952,0,0,0,0,0,1, ,2,40,7,0,0,1,50,1,0,0
0052,0,1,0,0,0,0,4,4,4,4,3,3,5,4,4,3,2,2,2,1,2,2,2,1,1,2,2,2, , ,3, ,1,4,1,4,2,4,1,1, , , , , , ,0,1959,0,0,0,0,0,1, ,4,34,17,0,0,1, ,1,0,0
0053,0,0,0,0,0,1,2,4,4,4,4,4,5,5,4,2,1,9,2,9,9,2,1,9,1,9,1,9, , ,3,3,1,4,1,4,1,1,1,1,4,4,4,4,4,4,1,1976,0,0,0,0,0,1, ,3,20,2000,1,1,3,6,0,0,1
0054,0,0,0,1,1,1,4,4,5,5,3,3,5,4,4,3,3,3,3,9,9,2,1,1,1,1,2,1,1982, ,1,0,3,3,3,4,3,4,3,1, , , , , , ,0,1958,0,0,0,0,0,1, ,2,40,5,1,0,2, ,0,1,0
0055,0,0,0,0,0,1,4,3,2,5,3,3,5,4,5,3,3,9,2,9,3,3,9,3,2,9,3,3,2004, ,3,3,4,4,1,4,1,1,1,1, , , , , , ,0,1967,0,0,0,0,0,1, ,6,17,5,0,0,1,0,1,0,0
0056,0,0,0,0,0,1,3,2,2,5,4,4,4,5,4,9,3,9,2,9,9,1,9,9,9,1,1,1, ,9,3,0,1,1,1,4,1,1,1,1, , , , , , ,0,1945,0,0,0,0,0,1, ,3,50,5,0,0,1,0,1,0,0
0057,0,1,0,0,0,0,3,1,1,3,2,1,5,5,4,3,3,2,3,9,3,4,4,4,3,4,3,3, , ,1,0,3,3,3,3,2,2,4,4,4,3,3,3,1,2,0,1962,0,0,0,0,0,1, ,6,20,130,0,1,3,10,0,0,1
0058,0,1,0,0,0,0,3,2,1,4,2,1,5,5,5,4,4,9,3,9,4,9,3,3,3,3,3,3, , ,0,0,1,4,1,1,1,1,4,4,4,2,4,4,4,4,0,1971,0,0,0,0,0,1, ,3,20,20,1,1,2,45,0,1,0
0059,0,0,0,0,0,1,5,1,5,1,1,1,5,5,3,4,9,9,9,4,9,3,4,3,4,9,3,9, , ,2,2,1,4,1,2,3,3,3,4, , , , , , ,1,1958,0,0,0,0,0,1, ,5,18,5,0,0,1,0,1,0,0
0060,0,0,0,0,1,0,3,3,4,4,3,3,5,4,4,2,3,2,1,9,2,2,9,9,9,2,1,1, , ,1,0,4,3,1,3,2,1,2,1, , , , , , ,1,1947,0,0,0,0,0,1, ,6,42,5,0,0,1,0,1,0,0
0061,0,0,0,0,0,0,3,3,3,5,3,3,5,5,4,3,3,4,4,4,9,4,3,9,3,9,3,3, ,9,3,0,1,3,1,3,1,3,3,1, , , , , , ,0,1954,0,0,0,0,0,1, ,2,48,1.5,0,0,1, ,1,0,0
0062,0,0,0,1,0,1,3,2,4,3,3,3,4,4,3,3,2,2,3,2,4,3,3,3,2,4, ,2, , ,3,3,2,2,2,4,2,2,3,1, , , , , , ,1,1949,0,0,0,0,0,1, ,2,50,40,0,0,1, ,1,0,0
0063,1,1,0,0,0,0,4,3,2,5,3,5,5,5,3,3,4,3,4,3,2,3,4,2,2,4,3,3, , ,3,1,4,4,4,4,1,1,1,1, , , , , , ,0,1947,0,0,0,0,0,1, ,5,10,3,0,0,1, ,1,0,0
0064,0,0,1,1,1,1,5,4,5,5,2,2,4,3,4,1,9,1,1,9,1,9,9,4,4,2,4,4,1999, ,3,2,1,1,1,1,3,3,1,4, , , , , , ,1,1977,0,0,0,0,0,1, ,3,24,2.45,1,0,2, ,0,1,0
0065,0,0,0,0,0,0,5, , , , , ,4,4,4,2,9,3,1,9,9,9,9,9,3, ,1,1, , ,3,3,1,2,1,2,1,1,1,1, , , , , , , ,1961, , , , , , ,9,2,12,3.8,0,0,1, ,1,0,0
0066,0,1,0,0,1,1,3,3,3,3,3,3,4,4,4,3,3,2,2, ,2,3,2,2,2,3,3,2, , , ,2,2,3,2,3,1,1,1, , , , , , , ,0,1943,0,0,0,0,0,1, ,5,50,68,0,0,1,57,1,0,0
0067,0,0,1,1,0,0,4,5,5,5,5,5,4,3,4,3,2,2,3,2,2,2,3,2,3,4,2,2,1963, ,2,0,4,4,3,4,1,1,1,1,4,4,4,4,4,3,0,1951,0,0,0,0,0,1, ,3,38,80,1,1,3,50,0,0,1
0068,0,0,0,0,0,1,3,2,2,3,2,1,5,5,4,3,4,3,3,3,2,3,3,3,2,4,3,3, ,9,1,0,2,2,1,1,2,3,3,4, , , , , , ,0,1943,0,0,0,0,0,1, ,4,50,40,0,0,1,25,1,0,0
0069, ,0,1,0,0,0,1, , , ,1, ,4,5, ,9,3,9,3,9,9,3,3,4,1,9,1,1, , ,1,0,1,1,1,1, , , , , , , , , , ,0,1947,0,0,0,0,0,1, ,5,39,20,0,0,1,39,1,0,0
0070,0,1,0,0,0,0,2,5,5,5,2,1,5,4,5,4,1,1,3,1,3,4,4,4,2,4,4,4,1997, ,3,2,4,4,4,4,1,1,1,1, , , , , , ,0,1991,0,0,0,0,0,1, ,3,6,10,1,0,2, ,0,1,0
0071,0,0,1,0,0,0,3,4,4,5,4,4,5,5,4,2,3,1,2,9,2,3,4,3,3,4,3,3, , ,0,0,2,4,2,4,2,3,3,3,4,4,4,3,9,2,0,1980,0,0,0,0,0,1, ,6,38,40,0,1,2,15,0,1,0
0072,0,0,0,0,0,1,4,3,2,4,2,2,5,5,4,9,9,9,9,9,9,9,9,9,9,3,9,9, , ,2,0,1,2,1,1,1,3,4,4,2,2,2,2,1,1,0,1956,0,0,0,0,0,1, ,2,20,50,0,1,2,66,0,1,0
0073,0,0,0,0,1,1,4,3,1,3,2,2,4,3,4,3,4,9,3,9,9,9,4,3,2,2,2,2, , ,2,0,1,1,1,2,3,4,3,4, , , , , , ,9,1958,0,0,0,0,0,1, ,6,24,60,0,0,1, ,1,0,0
0074,0,1,1,1,1,1,3,3,4,4,4,2,4,5,3,3,3,2,4,2,2,4,3,3,2,4,3,2, ,9,1,0,3,4,2,1,1,1,1, , , ,4, ,4,4,0,1954,0,0,0,0,0,1, ,2,56,80,1,1,3,38,0,0,1
0075,0,0,0,0,0,0,3,3,3,3,3,3,4,3,5,1,2,2,2,2,1,2,2,2,2,3,2,1, , ,0,0,1,1,1,1,2,2,2,2,9,9,9,9,9,9,1,1951,0,0,0,0,0,1, ,5,38,23,1,1,2,0,0,1,0
0076,0,1,0,0,0,0, , , ,5, , ,5,4,5,3,4,3,3,9,3,4,3,3,3,3,1,1,2001, ,2,0,3,4,1,4,1,1,3,3, , , , , , ,1,1976,0,0,0,0,0,1, ,5,22,2.1,0,0,1,0,1,0,0
0077,0,1,0,0,0,0,3,3,3,5,5,2,4,5,4,3,3,4,4,4,4,3,3,3,3,2,1,3,2000, ,0,0,1,1,1,1,4,4,4,4, , , , , , ,1,1933,0,0,0,0,0,1, ,3,22,60,0,0,1,80,1,0,0
0078,0,0,0,0,0,0,3,1,5,3,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2000, ,3,3,2,2,2,2,1,1, , ,2, , , , , ,0,1947,0,0,0,0,0,1, ,3,75,50,0,1,2,20,0,1,0
0079,0,1,0,0,0,0,3,3,2,4,2,1,5,5,4,1,3,9,2,9,1,1,1,3,1,9,4,3, ,9,3,2,1,1,1,1,2,2,4,4, , , , , , ,1,1993,0,0,0,0,0,1, ,5,5,1,0,0,1, ,1,0,0
0080,0,0,0,1,0,0,2,2,2,4,3,3,5,4,4,3,3,2,2,2,3,3,4,4,2,3,3,3, , ,2,1,2,2,1,1,3,3,3,3,2,2,2,2,4,1,1,1953,0,0,0,0,0,1, ,5,33,20,1,1,2, ,0,1,0
0081,1,1,1,1,1,1,4,4,2,5,4,3,5,5,4,9,9,9,1,9,1,9,9,9,9,9,9,9, , ,2,3,4,4,3,4,1,1,1,1,3,9,9,9,9,9,1,1972,0,0,0,0,0,1, ,3,4,32,0,1,2,20,0,1,0
0082,1,0,0,0,0,0, , , , , , ,4,4,3,2,3,9,1,9,9,9,3,3,9,3,2,2,2004, ,2,2,2,2,1,3,1,1,3,1, , , , , , ,1,1966,0,0,0,0,0,1, ,3,8,3.5,0,0,1, ,1,0,0
0083,0,0,0,0,0,0,3,3,2,5,4,3,5,5,4,2,3,3,3,9,9,3,3,2,2,3,2,2, ,9,2,1,4,4,2,2,1,3,2,2,4,4,9,9,9,2,1,1954,0,0,0,0,0,1, ,3,45,30,0,1,2,20,0,1,0
0085,0,1,0,0,0,1,5,4,5,5,3,3,4,3,4,2,3,2,3,3,1,3,9,2,9,9,3,3, , ,3,0,2,2,1,4,1,3,3,3, , , , , , ,0,1954,0,0,0,0,0,1, ,2,22,15,0,0,1, ,1,0,0
0086,0,1,0,0,1,0,4,2,2,4,3,3,5,4,4,3,3,3,2,9,2,3,4,3,2,2,2,2, ,9,3,0,2,4,1,4,1,1,4,4, , , , , , ,0,1968,0,0,0,0,0,1, ,2,30,10,0,0,1, ,1,0,0
0087,0,0,0,1,0,0,3,2,1,5,3,2,5,4,5,1,4,9,9,9,2,9,4,9,2,4,3,2, , ,3,3,1,1,1,1,2,2,3,2, , , , , , ,1,1980,0,0,0,0,0,1, ,6,7,15,0,0,1, ,1,0,0
0088,0,0,0,0,0,1,4,3,3,4,2,3,4,5,3,2,2,3,2,2,2,1,1,1,1,1,1,1,2004, ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1960,0,0,0,0,0,1, ,3,18,2,0,0,1, ,1,0,0
0089,0,0,0,0,0,0,3,3,3,4,4,3,5,4,4,3,3,9,9,9,1,3,4,3,3,4,3,2, , ,3,3,2,2,2,4,1,1,1,1, , , , , , ,0,1964,0,0,0,0,0,1, ,3,7,40,0,0,1,0,1,0,0
0090,1,0,0,0,0,0, , , , , , ,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9, , ,3,0, ,4, , , , , , , , , , , , ,1,1958,0,0,0,0,0,1, ,4,44,25,1,0,2,0,0,1,0
0091,0,1,0,0,0,1,2,2,3,5,3,1,4,5,4,3,3,2,3,2,4,3,3,3,2,2,3,3, ,9,3,0,3,4,1,2,2,1,1,1, , , , , , ,0,1946,0,0,0,0,0,1, ,2,28,5,0,0,1, ,1,0,0
0092,1,0,0,0,0,0,5,1,5,5,1,1,5,5,3,9,9,2,9,9,9,3,2,9,2,9,1,9,2020, ,3,3,1,1,1,1,1,1,1,1, , , , , , ,1,1964,0,0,0,0,0,1, ,6,21,10,0,0,1,0,1,0,0
0093,0,1,0,0,0,0,1,1,3,4,2,2,5,3,4,3,3,9,2,9,2,4,3,3,3,3,3,3, , ,3,3,1,1,1,1,2,2,2,4,4,4,4,4,4,4,0,1971,0,0,0,0,0,1, ,6,1,74,0,1,2,1,0,1,0
0094,0,1,0,0,0,0,4,4,5,5,2,2,5,4,4,9,9,9,9,9,9,9,4,4,3,4,3,2, ,9,3,0,1,1,3,1,1,4,3,1, , , , , , ,1,1981,0,0,0,0,0,1, ,6,5,6.5,1,0,2,10,0,1,0
0095,0,0,0,0,1,0,2,2,3,4,3,2,5,5,4,3,3,3,3,9,3,3,4,3,3,3,2,2,1978, ,3,3,2,4,2,4,1,1,1,3, , , , , , ,0,1940,0,0,0,0,0,1, ,6,44,10,0,0,1,0,1,0,0
0096,1,1,0,0,0,1,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3, ,9,3,3,2,2,2,2,3,4,3,3, , , , , , ,0,1969,0,0,0,0,0,1, ,5,27,2,0,0,1, ,1,0,0
0097,1,1,1,1,1,1,3,3,3,3,3,3,5,4,4,9,9,9,9,9,9,1,1,2,1,3,3,3, , ,3,0,4,4,1,4,1,1,1,1,3,2,4,9,9,9,0,1964,0,0,0,0,0,1, ,2,32,10,1,1,2,0,0,1,0
0098,1,1,1,1,1,1,5,5, , , , ,4,5,3,9,3,3,3,9,9,9,9,9,9,9,9,9, , ,0,0,1,1,1,1, , , , , , , , , , ,1, , , , , , , , ,3,50,15,0,0,1, ,1,0,0
0099,0,1,0,0,0,0,4,3,4,3,4,2,4,4,5,1,2,1,2,9,9,2,1,2,1,1,2,1,2015, ,2,0,1,3,1,3,1,1,1,2, , , , , , ,0,1946,0,0,0,0,0,1, ,4,52,45,0,0,1,0,1,0,0
0100, , , , ,1,0, , , , , , ,5,5,5,9,9,9,9,9,9,4,4,4,4,4, , , , ,3,3,4,4,4,4,1,1,1,1, , , , , , ,0,1944, , , , , , ,9,3,35,14,0,0,1,0,1,0,0
0101,0,1,0,0,1,1,2,2,4, ,1,1,5,3,4,9,9,9,9,9,9,4,4,4,4,4,4,4, ,9,2,2, , , , , ,4, , , , , , , , ,0,1960,0,0,0,0,0,1, ,3,14,4,0,0,1,0,1,0,0
